QUESTION,BT LEVEL
Classify a person who scored 12 and 10 for acceptability  and confidence assuming equal cost of misclassification and current percentage of supporters being 40.,COMPREHENSION
Construct a confusion matrix for the data and estimate the Apparent Error Rate. ,COMPREHENSION
Solve the following optimization problem by using the golden section search method and terminate the computation when the length of the interval.  ,APPLY
Use dynamic programming to make these allocations to maximize the total grade points to be obtained from the four courses.,APPLY
Apply the Karush-Kuhn-Tucker conditions for this problem to derive an optimal solution.,APPLY
Use Lagrange multiplier to solve the following nonlinear programming problem.,APPLY
Use dynamic programming to help the fortune seeker to identify the route which minimizes the total cost of the policy.,APPLY
Use the Chapman-Kolmogorov Equations procedure to find the n-step transition matrix pUi for n = 2 and 5.,APPLY
Formulate the evolution of the weather as a Markov chain by defining its states and giving its (one-step) transition matrix.,SYNTHESIS
Determine how to minimize the total cost of operating and purchasing a telephone for the next six years.,APPLY
Define transgenic crops.,KNOWLEDGE
List four traits commonly used for the development of transgenic crops.,KNOWLEDGE
“Transgenic technology is the best method used for crop improvement and that it should be the only method adopted in future”. Comment on the above statement and justify your explanation.,EVALUATE
Discuss in detail the criteria used to assess the success or failure of a newly released transgenic crop with improved tolerance to stress.,ANALYSIS
State TWO (2) advantages of continuous bioreactors over batch bioreactors.,KNOWLEDGE
"Using the Luedeking-Piret equation for growth associated product formation, calculate the pullulan concentration in 30h of fermentation.",APPLY
Name a major culture collection.,KNOWLEDGE
Butanol is found to be an efficient carbon source for the cultivation of this microorganism. Suggest how this carbon source can be sterilised and used in this fermentation process.,SYNTHESIS
"After strain modification process, the UTAR002 is found to be unable to excrete the desired enzyme into the medium.  Suggest a proper purification protocol for the recovery of this product.",SYNTHESIS
"As a fermentation technologist, you are required to maximise the production of citric acid through chemostat process. The chemostat process is going to be operated at dilution rate of 0.25 h-1 with 30 g/L of sucrose concentration in the feeding tank. Evaluate the possibilities in employing chemostat for citric acid production.",EVALUATE
Distinguish between chemically defined media and natural media.,ANALYSIS
"Optimization of medium and culture conditions of a fermentation process can be conducted by using multifactor experimental design or response surface optimization. With aid of a flow chart, compare and contrast these two methods.",ANALYSIS
"From your observation, you noticed that agitation and aeration are important in cultivating the Lactobacillus acidophilus aerobically. Suggest the most suitable agitator that could be used for this purpose. Describe the proposed impeller type in detail.",SYNTHESIS
Discuss and show the impact of CRM strategies in the telecommunication sector.,APPLY
Suggest the most suitable growth model that could be applied to describe the growth of above-mentioned Lactobacillus acidophilus strain. Briefly explain the suggested growth model.,SYNTHESIS
Distinguish Paradox of the Commons from Tragedy of the Commons.,ANALYSIS
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,EVALUATE
"Advise the five steps, as recommended by Porter and Millar, that can be applied by business managers in taking advantage of information technology.",SYNTHESIS
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,EVALUATE
"Davenport (2000) discusses four emerging trends to be considered in designing future enterprise systems. Analyze each emerging trend, its relevance and importance to the designing of future enterprise systems.",ANALYSIS
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,EVALUATE
PERCEPTION STUDIES based on SURVEY METHOD are useful and common in both academic and market research. Critically evaluate the strategies used in data collection that can increase the response rate when conducting a survey.,EVALUATE
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,EVALUATE
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",EVALUATE
Leaders  often  face  a  dilemma  because  of  a  perceived  conflict  between  the realm of business and the realm of ethics. Compare the characteristics  of leaders who follow a strict rational  self-interest  approach  with  those  who take an ethical approach.,ANALYSIS
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,EVALUATE
Distinguish clearly between power and authority.,ANALYSIS
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,APPLY
"Evaluate the types of power Benjamin Fang is exercising in Sun Plantations, and explain how this is being eroded by the changes taking place in the environment.",EVALUATE
Discuss the extent to which the existence of a conflict between a company's objectives is acceptable.,EVALUATE
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",EVALUATE
"Identify and recommend any appropriate amendments to the proposal presented in order to rectify the errors made in estimating the company's current cost of capital and current value. For each of the revisions, explain the reasons why it should be amended.",EVALUATE
"Recommend with justification, a value or range of values to the Board of Directors for the acquisition of ESL Berhad.",EVALUATE
"Compare how the Net Present Value (NPV), IRR method and modified Internal Rate of Return (MIRR) method is different.",ANALYSIS
Analyze the product-market options that are available to Associated Meats Sdn Bhd.,ANALYSIS
"Critically review the strengths, weaknesses,  opportunities and threats of Associated Meats Sdn Bhd in light of the forecast trends and developments.",EVALUATE
"Critically appraise the five competitive forces encased within Porter's ""FIVE FORCES"" model within the context of a profit-oriented organization and discuss the threat posed to the firm by each of these forces.",EVALUATE
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",EVALUATE
Synthesize any FIVE (5) factors that  should be considered  when  devising a safe system to undertake a task in an organization.,SYNTHESIS
Demonstrate email and social media approaches to create effective marketing plan.,APPLY
Synthesize the need for ventilation as an engineering control.,SYNTHESIS
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,EVALUATE
List FIVE (5) functions of Department of Safety and Health as outline in OSHA 1994.,KNOWLEDGE
Define the term project in the context of project management.,KNOWLEDGE
Define standard operating procedures as highlighted.,KNOWLEDGE
Compare FOUR (4) point of views of entrepreneurs with FOUR (4) for managers the way they look at the things.,ANALYSIS
Being a technopreneur means dealing with innovation. Define what innovation is and also propose FOUR (4) types of innovations you can have in your organization.,SYNTHESIS
List any SEVEN (7) suggestions for good presentation of your business plan as it is very crucial to convince potential consumers and financers.,KNOWLEDGE
PEST and SWOT are popular strategy tools. Discuss how the TWO(2) tools can be applied in manufacturing business environment.,APPLY
List the advantages and disadvantages of Public Offering.,KNOWLEDGE
Show your calculations for all THREE (3) options and then discuss which one of the options you prefer.,ANALYSIS
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,EVALUATE
Define brand audit.,KNOWLEDGE
