A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Appreciate the need for a comparative understanding of criminology in historical and current social perspectives;,15,99,74.76,82.75,99,15,46.67,86.67,40,0,0,0,0,0,0,0,0,13.33,20,0,0,6.67,0,6.67,6.67,6.67,0,0,0,6.67,6.67,0,0,0,0,6.67,0,0,0,0,20,13.33,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,13.33,0,20,0,6.67,13.33,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,6.67,0,0,0,0,0,0,0
Appreciate the need for advanced approximate methods in applied mathematics when exact solutions are not available and for when numerical solution requires asymptotic boundary conditions,25,73.88,21.18,87.83,91.14,25,56,72,36,0,0,0,0,0,0,0,0,4,12,4,8,12,4,8,0,0,8,0,4,4,4,0,0,0,0,0,0,0,0,0,28,12,8,4,4,4,4,0,0,0,0,0,0,0,0,0,12,0,12,0,4,0,0,8,0,16,4,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appreciate the need for sustainable development and assess the environmental impact of engineering projects in the context of sustainable development.,20,99,50,3.37,96.76,20,45,70,40,0,0,0,0,0,0,0,0,15,20,0,0,5,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
Appreciate the occurrence of gases and particulate matter in confined spaces and select appropriate control strategies.,16,97.36,50,35.37,99,16,43.75,62.5,31.25,0,0,0,0,0,0,0,0,6.25,12.5,0,0,12.5,0,0,6.25,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,6.25,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
Appreciate the peculiarities of the contemporary migrant experience;,8,99,50,7.84,25.77,8,62.5,75,37.5,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,0,0,0,0,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0
Appreciate the physical basis behind hydropower,6,99,50,98.01,99,6,50,83.33,33.33,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,33.33,16.67,16.67,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"appreciate the potential and limits of macroeconomic policies to achieve development goals, employment objectives and macroeconomic stability, and evaluate policy options and trade-offs considering real world constraints",28,89.26,50,13.15,87.2,28,50,75,25,0,0,0,0,0,0,0,0,3.57,7.14,0,0,14.29,0,3.57,0,0,0,0,0,3.57,3.57,0,0,0,0,0,0,0,0,0,17.86,10.71,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,21.43,0,14.29,7.14,7.14,0,0,0,3.57,3.57,0,3.57,0,25,0,0,3.57,0,0,0,0,0,0,0,0,10.71,0,7.14,0,0,0,0,3.57,0,0,0,0
Appreciate the potential role of genetic manipulation to produce novel plant products of potential economic importance;,16,99,73.4,1,99,16,56.25,87.5,25,0,0,0,0,0,0,0,0,6.25,18.75,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,6.25,0,0,0,0,37.5,6.25,18.75,0,12.5,0,0,0,0,0,0,0,0,0,0,0,25,0,18.75,6.25,0,0,0,0,12.5,0,0,0,0,18.75,6.25,0,6.25,0,0,0,0,0,0,0,0,6.25,0,0,0,6.25,0,0,0,0,0,0,0
Appreciate the power of mathematics and its applications;,8,93.26,50,7.84,99,8,37.5,100,50,12.5,0,0,0,0,0,0,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0
"Appreciate the practical and theoretical nature of industrial design, in particular the intimate relationship between rational processes and inspirational factors in design;",22,99,67.52,61.34,99,22,54.55,72.73,36.36,0,0,0,0,0,0,0,0,9.09,18.18,0,0,9.09,0,0,9.09,4.55,0,0,0,9.09,9.09,0,0,0,0,4.55,0,0,0,0,18.18,13.64,4.55,0,4.55,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,9.09,0,9.09,0,4.55,0,0,0,0,0,0,0,0,0,0,0,9.09,0,4.55,0,4.55,0,0,0,0,0,0,0
appreciate the principal differences in the social and business environment between developing and fully developed economies,16,97.36,50,95.6,99,16,56.25,100,43.75,0,0,0,0,0,0,0,0,12.5,12.5,0,6.25,12.5,0,0,6.25,6.25,0,0,0,6.25,6.25,0,0,0,0,6.25,0,0,0,0,12.5,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,12.5,6.25,0,6.25,0,0,0,0,0,18.75,0,18.75,0,25,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appreciate the processes and limitations of different sampling methods.,9,98.87,13.32,58.07,99,9,66.67,77.78,33.33,0,0,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,11.11,11.11,0,0,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
"Appreciate the properties of the three basic types of linear second-order partial differential equations, including suitable initial and/or boundary conditions;",22,99,18.16,85.21,94.75,22,45.45,68.18,31.82,0,0,0,0,0,0,0,0,9.09,13.64,0,0,9.09,0,0,4.55,0,0,9.09,0,4.55,4.55,0,0,0,0,0,0,0,0,0,13.64,4.55,0,0,4.55,0,9.09,0,0,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,0,0,0,13.64,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,4.55,0,4.55,0,0,4.55,0,0,0,4.55
Appreciate the range of factors than may influence the vulnerability of particular regions or communities to hazardous environmental processes,19,99,29.92,81.22,1,19,52.63,84.21,42.11,0,0,0,0,0,0,0,0,10.53,21.05,5.26,0,5.26,0,5.26,10.53,10.53,0,0,0,15.79,5.26,10.53,5.26,0,0,5.26,0,0,0,0,26.32,5.26,5.26,0,10.53,0,10.53,0,0,0,0,0,0,0,0,0,21.05,5.26,0,10.53,0,5.26,0,0,5.26,10.53,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appreciate the relationship between design and other disciplines that interface with design;,12,93.26,50,23.51,99,12,41.67,66.67,50,16.67,0,0,0,0,0,0,16.67,8.33,16.67,0,0,8.33,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,16.67,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,0
appreciate the relationship between the changing face of organisations into today's business environment and the need for managers to attend to organisational wellness,23,99,66.81,54.89,99,23,43.48,91.3,43.48,0,0,0,0,0,0,0,0,13.04,26.09,0,0,4.35,0,4.35,0,0,0,0,0,8.7,8.7,0,0,0,0,4.35,0,0,0,0,13.04,4.35,4.35,4.35,0,0,0,0,0,0,0,8.7,4.35,4.35,0,0,8.7,4.35,0,4.35,0,0,0,13.04,0,21.74,8.7,8.7,4.35,8.7,0,0,4.35,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,4.35,0,0
"Appreciate the relevance of probability models to a variety of areas including Science, Engineering, Actuarial Science and Finance;",18,99,50,4.97,98.27,18,55.56,77.78,44.44,0,0,0,0,0,0,0,0,11.11,22.22,0,5.56,5.56,0,0,5.56,5.56,0,0,5.56,5.56,5.56,0,0,0,0,0,0,0,0,0,11.11,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,5.56,0,16.67,0,0,5.56,0,0,0,0,0,0,0,0,16.67,0,11.11,0,5.56,0,0,0,0,0,0,0
appreciate the relevance of quantitative analytical techniques in solving business decision problems,12,99,50,98.01,25.77,12,75,75,25,0,0,0,0,0,0,0,0,8.33,16.67,0,0,0,0,8.33,0,0,0,0,0,16.67,8.33,8.33,0,0,0,0,0,0,0,0,41.67,33.33,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,8.33,0,0,8.33,0,0,0,8.33,0,8.33,0,16.67,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appreciate the rich mathematical structure of the real numbers;,9,99,50,4.97,99,9,44.44,66.67,33.33,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,0,11.11,0,0,0,0,22.22,22.22,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0
Appreciate the risk and uncertainty associated with rock mechanics decision-making.,11,98.34,50,31.94,1,11,45.45,90.91,27.27,0,0,0,0,0,0,0,0,9.09,9.09,0,0,9.09,0,9.09,0,0,0,0,0,27.27,9.09,18.18,18.18,0,0,0,0,0,0,0,36.36,18.18,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,9.09,0,0,0,0
Appreciate the role of combinatorics in other areas of mathematics.,10,99,50,99,99,10,30,90,50,10,0,0,0,0,0,0,10,10,30,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,20,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
appreciate the role of economic policy in the short and long-run,12,99,79.76,99,99,12,16.67,100,41.67,0,0,0,0,0,0,0,0,16.67,16.67,0,0,8.33,0,8.33,8.33,0,0,0,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,8.33,0,33.33,8.33,25,0,16.67,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0
Appreciate the role of graph theory in other areas of mathematics.,11,99,50,99,99,11,18.18,90.91,45.45,9.09,0,0,0,0,0,0,9.09,9.09,27.27,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,27.27,9.09,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,18.18,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
Appreciate the role of modern techniques including non-parametric smoothing and variance components models.,14,99,76.25,13.15,99,14,50,57.14,28.57,0,0,0,0,0,0,0,0,7.14,14.29,0,0,7.14,0,0,7.14,0,0,0,0,7.14,7.14,0,0,0,0,7.14,0,0,0,0,7.14,7.14,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,0,0,0,0,7.14,0,0,0,0
"Appreciate the role of newer techniques including parametric non-modelling, floating odds ratios and competing risks.",16,99,73.4,7.84,25.77,16,43.75,56.25,25,0,0,0,0,0,0,0,0,6.25,12.5,0,0,6.25,0,0,6.25,6.25,0,0,0,12.5,6.25,6.25,6.25,0,0,6.25,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,6.25,0,6.25,0,0,0,6.25,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,18.75,6.25,6.25,0,0,0,0,6.25,0,0,0,0
appreciate the role of scientific research in the field of psychology,11,99,81.84,31.94,99,11,36.36,90.91,45.45,0,0,0,0,0,0,0,0,18.18,27.27,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appreciate the role of simulation in demonstrating and explaining statistical concepts.,11,99,96.52,85.21,99,11,54.55,63.64,36.36,0,0,0,0,0,0,0,0,9.09,18.18,0,0,9.09,0,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,18.18,0,0,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
Appreciate the role of the community and stakeholders in contemporary traffic management.,12,99,95.2,23.51,99,12,50,75,41.67,0,0,0,0,0,0,0,0,16.67,16.67,0,0,8.33,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,16.67,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,0,8.33,0,0,0,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
"Appreciate the role prior distributions and have a thorough understanding of the connection between Bayesian methods and standard 'classical' approaches to statistics, especially those based on likelihood methods.",28,97.73,63.97,52.86,87.2,28,53.57,75,42.86,3.57,0,0,0,0,0,0,3.57,10.71,14.29,3.57,3.57,7.14,0,7.14,3.57,0,0,0,0,3.57,3.57,0,0,0,0,3.57,0,0,0,0,17.86,7.14,3.57,0,3.57,3.57,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,3.57,0,3.57,3.57,0,14.29,3.57,7.14,3.57,0,0,0,0,0,0,0,0,0,0,0,0,14.29,3.57,3.57,0,0,0,0,0,0,7.14,0,0
"Appreciate the role that differential equations and their solutions play in the scientific process, in particular their use as a tool to model physical systems and allow predictions to be made and tested.",33,93.26,72.77,16.48,99,33,30.3,84.85,45.45,9.09,6.06,0,0,0,0,6.06,3.03,9.09,15.15,3.03,0,12.12,0,12.12,9.09,6.06,0,0,0,6.06,6.06,0,0,0,0,9.09,0,0,0,0,18.18,6.06,12.12,0,0,0,3.03,0,0,0,0,3.03,0,3.03,0,0,6.06,0,3.03,3.03,0,0,6.06,6.06,3.03,6.06,0,6.06,0,6.06,3.03,0,0,0,0,0,0,0,0,0,0,6.06,3.03,3.03,0,0,0,0,0,0,0,0,0
"appreciate the role that problem-oriented or solution-focused courts have in relation to the sentencing of drug dependent or mentally disordered persons, family violence offenders and Koorie offenders;",29,93.26,63.49,26.55,1,29,48.28,75.86,34.48,3.45,0,0,0,0,0,0,3.45,6.9,10.34,3.45,0,10.34,0,3.45,0,0,0,0,0,17.24,3.45,13.79,0,6.9,0,10.34,3.45,0,0,0,20.69,10.34,3.45,3.45,6.9,0,6.9,0,0,0,0,3.45,0,3.45,0,0,17.24,6.9,3.45,3.45,0,3.45,0,3.45,0,3.45,0,3.45,0,0,3.45,3.45,0,0,0,0,0,0,0,0,0,13.79,0,3.45,0,3.45,0,0,6.9,0,0,0,0
"Appreciate the role, limitations and complexity of using research evidence to improve practice and develop policy",16,97.36,73.4,35.37,99,16,50,100,31.25,0,0,0,0,0,0,0,0,6.25,12.5,0,0,12.5,0,6.25,0,0,0,0,0,12.5,12.5,0,0,0,0,6.25,0,0,0,0,25,18.75,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,18.75,6.25,0,0,0,6.25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0
appreciate the specific and practical challenges and opportunities involved in the different dimensions of 'creative city' initiatives;,17,99,50,99,99,17,58.82,100,35.29,0,0,0,0,0,0,0,0,11.76,11.76,0,0,11.76,0,0,23.53,5.88,0,0,0,23.53,23.53,0,0,0,0,5.88,0,0,0,0,29.41,5.88,11.76,0,0,5.88,5.88,0,0,0,0,0,0,0,0,0,23.53,0,23.53,0,5.88,0,0,0,0,23.53,0,17.65,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,17.65,0,0,0,5.88,0,0,0,0,11.76,0,0
Appreciate the steps involved in developing and commercialising technology and the value of scientific skills in this process.,18,98.87,71.09,58.07,99,18,38.89,88.89,44.44,5.56,0,0,0,0,0,0,5.56,11.11,16.67,0,0,11.11,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,5.56,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,5.56,0,0,0,0,0,0,16.67,5.56,11.11,0,22.22,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0
"Appreciate the tools used by chemists to design, prepare and study novel carbon based molecules and metal complexes;",18,97.07,50,1,98.27,18,27.78,61.11,27.78,0,0,0,0,0,0,0,0,5.56,11.11,0,0,11.11,0,11.11,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,16.67,5.56,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,5.56,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,11.11,0,5.56,0,5.56,0,0,0,0,0,0,0
appreciate the value of informed group discussion in evaluating psychological research and interventions,13,99,98.93,94.81,99,13,53.85,92.31,30.77,0,0,0,0,0,0,0,0,7.69,15.38,0,0,7.69,0,7.69,0,0,0,0,7.69,15.38,15.38,0,0,0,0,23.08,0,0,0,0,23.08,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,7.69,0,0,7.69,0,7.69,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Appreciate through group-based assignments, an understanding of the design process involving ethical conduct, teamwork spirits, leadership and the need for attention to detail.",24,99,95.2,1.79,92.4,24,50,79.17,33.33,0,0,0,0,0,0,0,0,12.5,16.67,0,0,4.17,0,8.33,0,0,0,0,4.17,4.17,4.17,0,0,0,0,16.67,0,0,0,0,20.83,12.5,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,12.5,8.33,8.33,4.17,0,0,0,4.17,0,0,0,0,0,12.5,4.17,0,0,4.17,0,0,0,0,0,0,0,20.83,4.17,12.5,0,0,0,0,4.17,0,0,0,0
"Appreciate why the energy landscape is changing and the role materials will play in alternate energy technologies in the broad areas of energy production, storage and conversion.",27,96.08,77.05,58.07,99,27,33.33,81.48,40.74,0,0,0,0,0,0,0,0,11.11,11.11,7.41,3.7,7.41,0,7.41,3.7,0,3.7,0,0,18.52,18.52,0,0,0,0,7.41,0,0,0,0,14.81,3.7,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7,0,0,0,0,0,3.7,3.7,18.52,3.7,14.81,0,3.7,3.7,0,0,0,0,0,0,0,0,0,0,7.41,3.7,3.7,0,0,0,0,0,0,0,0,0
"Appreciates heath economic considerations for a medical technology, therapeutic or diagnostic test.",12,98.14,20.24,74.76,99,12,58.33,75,25,0,0,0,0,0,0,0,0,8.33,8.33,0,0,8.33,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,25,16.67,0,0,8.33,0,8.33,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,8.33,0,0,0,0,0,0,0,0,16.67,8.33,8.33,0,0,0,0,0,0,0,0,0
Appreciation for the importance and application of occupational health and safety procedures,12,98.14,50,1.79,99,12,41.67,91.67,41.67,0,0,0,0,0,0,0,0,8.33,16.67,0,0,16.67,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,16.67,0,8.33,0,0,8.33,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appreciation of the inter-relationship between evolving media technologies and digital literary genres from 1980s to the present;,18,99,71.09,4.97,98.27,18,44.44,61.11,38.89,0,0,0,0,0,0,0,0,11.11,22.22,0,0,5.56,0,0,5.56,0,0,0,0,5.56,5.56,0,0,0,0,5.56,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,5.56,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,5.56,0,0,5.56,0,0,0,0
Appreciation of the relationship of transport/traffic engineering to the profession of civil engineering,14,99,76.25,13.15,99,14,50,71.43,42.86,0,0,0,0,0,0,0,0,14.29,28.57,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,7.14,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,7.14,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,7.14
"Apprehend the significance of ethics, laboratory etiquette and adherence to OHS",11,99,50,1,25.77,11,45.45,45.45,36.36,0,0,0,0,0,0,0,0,9.09,18.18,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0
"Approach and analyse the international issue of drugs through the eyes and interests of specific communities and actors, and not just through the singular lens of universalism;",27,97.84,35.54,15.12,88.52,27,37.04,85.19,51.85,0,0,0,0,0,0,0,0,11.11,18.52,0,3.7,14.81,3.7,3.7,3.7,0,0,0,0,3.7,3.7,0,0,0,0,3.7,0,0,0,0,11.11,3.7,0,0,0,3.7,3.7,3.7,3.7,0,0,7.41,3.7,3.7,0,0,7.41,3.7,0,0,3.7,0,0,0,0,7.41,3.7,3.7,0,3.7,3.7,0,0,0,0,0,0,0,0,0,0,7.41,0,3.7,0,3.7,0,0,0,0,0,0,0
Approach art history with an appreciation for the social and political forces that inform art practice;,16,99,89.42,74.76,99,16,31.25,100,37.5,6.25,0,0,0,0,0,0,6.25,12.5,12.5,0,0,6.25,0,6.25,6.25,0,0,0,0,6.25,6.25,0,0,0,0,12.5,0,0,0,0,18.75,12.5,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,6.25,6.25,12.5,6.25,0,0,12.5,0,12.5,6.25,0,6.25,12.5,12.5,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,6.25,0,0,0,0,0,0,0
"Approach contemporary art practice and aesthetics with challenge and vigour, and be able to establish a personalised and informed discourse within the context of fine art practice;",27,96.08,64.46,4.97,99,27,40.74,77.78,40.74,0,0,0,0,0,0,0,0,7.41,14.81,3.7,0,14.81,0,7.41,3.7,0,0,0,0,11.11,11.11,0,0,0,0,3.7,0,0,0,0,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.52,0,14.81,0,3.7,0,3.7,11.11,0,7.41,3.7,3.7,0,11.11,7.41,0,0,0,0,0,0,0,0,0,0,7.41,0,3.7,0,3.7,0,0,0,0,0,0,0
"Approach new problems and find solutions on the basis of general principles, and evaluate the appropriateness of their proposed models or solutions.",22,96.54,50,96.4,1,22,40.91,81.82,40.91,4.55,4.55,0,0,0,0,4.55,0,9.09,13.64,0,0,13.64,0,4.55,9.09,0,0,0,0,4.55,0,4.55,0,0,0,4.55,0,0,0,0,31.82,18.18,13.64,4.55,4.55,0,4.55,0,0,0,0,0,0,0,0,0,18.18,0,9.09,0,4.55,4.55,0,4.55,0,13.64,4.55,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,9.09,4.55,4.55,0,0,0,0,0,0,0,0,0
approach problems with an empathetic nature and show that you have an ability to communicate with a broad range of audiences,21,99,92.33,1,1,21,28.57,85.71,52.38,9.52,4.76,0,0,4.76,0,0,4.76,14.29,19.05,4.76,0,4.76,0,4.76,4.76,0,0,0,0,4.76,0,4.76,0,0,0,9.52,0,0,0,0,4.76,0,0,4.76,0,0,0,4.76,4.76,0,0,0,0,0,0,0,23.81,9.52,4.76,0,4.76,4.76,0,4.76,0,9.52,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appropriately and correctly use technical terms associated with analytical toxicology;,10,93.26,50,3.37,25.77,10,60,70,20,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,10,0,0,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0
"Appropriately and effectively communicate with patients, carers and other health professionals to ensure a collaborative approach to optimising patient outcomes.",20,96.79,50,15.86,25.77,20,50,70,35,5,0,0,0,0,0,0,5,5,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,5,10,0,0,0,5,0,0,0,0,5,0,5,0,0,15,10,0,0,5,0,0,0,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0
"Appropriately and effectively communicate with patients, carers and other health professionals, to ensure a collaborative approach to optimising patient outcomes.",20,96.79,50,15.86,25.77,20,50,70,35,5,0,0,0,0,0,0,5,5,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,5,10,0,0,0,5,0,0,0,0,5,0,5,0,0,15,10,0,0,5,0,0,0,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,5,10,0,0,0,0,0,0,0,0,0
